Feature,Importance
Class_Overlap_Score,0.13694638366804762
Feature_Importance_Consistency,0.1162534614900325
Variance_Threshold_Check,0.08518669661205915
Date_Columns_Count,0.07597104606256432
Feature_Correlation_Mean,0.07349831209369703
Label_Noise_Rate,0.06608234264849987
Duplicate_Records_Count,0.06595528907755009
Target_Imbalance,0.06005013768707128
Missing_Values_Pct,0.055736275410471915
Outlier_Rate,0.05557486704843232
Domain_Constraint_Violations,0.049721083660330956
Range_Violation_Rate,0.04345001863738731
Data_Quality_Score,0.028538891557269287
Data_Freshness,0.018981384311950154
File_Size_MB,0.016554472256578828
Anomaly_Count,0.010255292136711397
Inconsistency_Rate,0.009308956503538433
Data_Type_Mismatch_Rate,0.008886133846291272
Column_Count,0.006954299181857323
Data_Density_Completeness,0.0058713124555367265
Encoding_Coverage_Rate,0.004308265180156874
Null_vs_NaN_Distribution,0.0028133408131005766
Categorical_Columns_Count,0.0018228565340722594
Cardinality_Categorical,0.0005051019094265745
Row_Count,0.0004901148017608302
Numeric_Columns_Count,0.00018623833761813606
Mean_Median_Drift,9.742607798693525e-05
