Feature,Importance
Data_Type_Mismatch_Rate,0.12815610871128136
Inconsistency_Rate,0.07451569822946173
Date_Columns_Count,0.07271810870008688
Mean_Median_Drift,0.06719239140059409
Data_Freshness,0.061181106291287035
Feature_Importance_Consistency,0.05897174204534063
Duplicate_Records_Count,0.05142602118168957
Encoding_Coverage_Rate,0.051183783495172906
Column_Count,0.047478172660610066
Missing_Values_Pct,0.04621351881625161
Class_Overlap_Score,0.03965981044152147
Numeric_Columns_Count,0.03371228345233755
Label_Noise_Rate,0.02994273898179797
Anomaly_Count,0.029681309904178128
Row_Count,0.026026483015019336
Feature_Correlation_Mean,0.02561215440547824
Data_Density_Completeness,0.02539306674347986
File_Size_MB,0.022666809557990157
Target_Imbalance,0.022134576630728483
Domain_Constraint_Violations,0.02038964939359097
Data_Quality_Score,0.014529319829883034
Null_vs_NaN_Distribution,0.011208297124908015
Cardinality_Categorical,0.011046020666768179
Range_Violation_Rate,0.009974814734945521
Variance_Threshold_Check,0.007864456023805371
Categorical_Columns_Count,0.006010158406147874
Outlier_Rate,0.005111399155644067
